,city,object,type,geometry,lat,lon
28,Москва,amenity,cafe,POINT (37.6809206 55.7897921),55.7897921,37.6809206
29,Москва,amenity,cafe,POINT (37.6802253 55.790264),55.790264,37.6802253
30,Москва,amenity,cafe,POINT (37.7992384 55.6306283),55.6306283,37.7992384
31,Москва,amenity,cafe,POINT (37.7962183 55.642514),55.642514,37.7962183
32,Москва,amenity,cafe,POINT (37.7707677 55.7297961),55.7297961,37.7707677
33,Москва,amenity,cafe,POINT (37.7839121 55.7181527),55.7181527,37.7839121
34,Москва,amenity,cafe,POINT (37.4483248 55.8603061),55.8603061,37.4483248
35,Москва,amenity,cafe,POINT (37.6130189 55.894718),55.894718,37.6130189
36,Москва,amenity,cafe,POINT (37.6116799 55.886287),55.886287,37.6116799
37,Москва,amenity,cafe,POINT (37.5835847 55.7964009),55.7964009,37.5835847
38,Москва,amenity,cafe,POINT (37.7325016 55.7948327),55.7948327,37.7325016
39,Москва,amenity,cafe,POINT (37.7337973 55.7213512),55.7213512,37.7337973
40,Москва,amenity,cafe,POINT (37.6046705 55.7634115),55.7634115,37.6046705
41,Москва,amenity,cafe,POINT (37.6235815 55.7212034),55.7212034,37.6235815
42,Москва,amenity,cafe,POINT (37.4285202 55.7428169),55.7428169,37.4285202
43,Москва,amenity,cafe,POINT (37.5682109 55.6582049),55.6582049,37.5682109
44,Москва,amenity,cafe,POINT (37.7266258 55.8015302),55.8015302,37.7266258
45,Москва,amenity,cafe,POINT (37.8088016 55.8175466),55.8175466,37.8088016
46,Москва,amenity,cafe,POINT (37.5178934 55.7351492),55.7351492,37.5178934
47,Москва,amenity,cafe,POINT (37.392901 55.6476531),55.6476531,37.392901
48,Москва,amenity,cafe,POINT (37.7814848 55.8044145),55.8044145,37.7814848
49,Москва,amenity,cafe,POINT (37.4969072 55.8233681),55.8233681,37.4969072
50,Москва,amenity,cafe,POINT (37.4941534 55.8086798),55.8086798,37.4941534
51,Москва,amenity,cafe,POINT (37.6908193 55.6404496),55.6404496,37.6908193
52,Москва,amenity,cafe,POINT (37.720243 55.783007),55.783007,37.720243
53,Москва,amenity,cafe,POINT (37.7210495 55.783492),55.783492,37.7210495
54,Москва,amenity,cafe,POINT (37.5793193 55.7612185),55.7612185,37.5793193
55,Москва,amenity,cafe,POINT (37.4484805 55.8599177),55.8599177,37.4484805
56,Москва,amenity,cafe,POINT (37.6366282 55.8740187),55.8740187,37.6366282
57,Москва,amenity,cafe,POINT (37.6719163 55.8719437),55.8719437,37.6719163
58,Москва,amenity,cafe,POINT (37.5859374 55.9039251),55.9039251,37.5859374
59,Москва,amenity,cafe,POINT (37.7084841 55.7590525),55.7590525,37.7084841
60,Москва,amenity,cafe,POINT (37.5926032 55.767666),55.767666,37.5926032
61,Москва,amenity,cafe,POINT (37.5933715 55.7673084),55.7673084,37.5933715
62,Москва,amenity,cafe,POINT (37.5880591 55.7629854),55.7629854,37.5880591
63,Москва,amenity,cafe,POINT (37.6107617 55.7667104),55.7667104,37.6107617
64,Москва,amenity,cafe,POINT (37.6508627 55.6786533),55.6786533,37.6508627
65,Москва,amenity,cafe,POINT (37.6379158 55.7716573),55.7716573,37.6379158
66,Москва,amenity,cafe,POINT (37.6522939 55.7673462),55.7673462,37.6522939
67,Москва,amenity,cafe,POINT (37.4990295 55.810912),55.810912,37.4990295
68,Москва,amenity,cafe,POINT (37.494602 55.8128478),55.8128478,37.494602
69,Москва,amenity,cafe,POINT (37.6588261 55.6777353),55.6777353,37.6588261
70,Москва,amenity,cafe,POINT (37.66028 55.6775693),55.6775693,37.66028
71,Москва,amenity,cafe,POINT (37.5339739 55.8766396),55.8766396,37.5339739
72,Москва,amenity,cafe,POINT (37.531996 55.702286),55.702286,37.531996
73,Москва,amenity,cafe,POINT (37.529905 55.703591),55.703591,37.529905
74,Москва,amenity,cafe,POINT (37.5336446 55.6932599),55.6932599,37.5336446
75,Москва,amenity,cafe,POINT (37.6276453 55.7409522),55.7409522,37.6276453
76,Москва,amenity,cafe,POINT (37.7876204 55.7989895),55.7989895,37.7876204
77,Москва,amenity,cafe,POINT (37.4387397 55.8461495),55.8461495,37.4387397
78,Москва,amenity,cafe,POINT (37.5613629 55.8063108),55.8063108,37.5613629
79,Москва,amenity,cafe,POINT (37.6173425 55.7589836),55.7589836,37.6173425
80,Москва,amenity,cafe,POINT (37.5107086 55.8051354),55.8051354,37.5107086
81,Москва,amenity,cafe,POINT (37.4884003 55.7345371),55.7345371,37.4884003
82,Москва,amenity,cafe,POINT (37.4846421 55.7390749),55.7390749,37.4846421
83,Москва,amenity,cafe,POINT (37.5070676 55.6182552),55.6182552,37.5070676
84,Москва,amenity,cafe,POINT (37.7120284 55.8767037),55.8767037,37.7120284
85,Москва,amenity,cafe,POINT (37.594626 55.8891575),55.8891575,37.594626
86,Москва,amenity,cafe,POINT (37.5360004 55.7409749),55.7409749,37.5360004
87,Москва,amenity,cafe,POINT (37.709086 55.7852),55.7852,37.709086
88,Москва,amenity,cafe,POINT (37.5588186 55.7420779),55.7420779,37.5588186
89,Москва,amenity,cafe,POINT (37.6322394 55.7658952),55.7658952,37.6322394
90,Москва,amenity,cafe,POINT (37.6452839 55.7591689),55.7591689,37.6452839
91,Москва,amenity,cafe,POINT (37.5892139 55.7626987),55.7626987,37.5892139
92,Москва,amenity,cafe,POINT (37.6384319 55.8081589),55.8081589,37.6384319
93,Москва,amenity,cafe,POINT (37.6363308 55.8085513),55.8085513,37.6363308
94,Москва,amenity,cafe,POINT (37.5893563 55.7687885),55.7687885,37.5893563
95,Москва,amenity,cafe,POINT (37.4467822 55.8267194),55.8267194,37.4467822
96,Москва,amenity,cafe,POINT (37.5355596 55.6869871),55.6869871,37.5355596
97,Москва,amenity,cafe,POINT (37.4191351 55.7582211),55.7582211,37.4191351
